日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20250829,大和工業,5444,鉄鋼,0.0432%,TOPIX Mid400
20250829,東京鐵鋼,5445,鉄鋼,0.0063%,TOPIX Small 1
20250829,大阪製鐵,5449,鉄鋼,0.0029%,TOPIX Small 2
20250829,淀川製鋼所,5451,鉄鋼,0.0150%,TOPIX Small 1
20250829,中部鋼鈑,5461,鉄鋼,0.0043%,TOPIX Small 1
20250829,丸一鋼管,5463,鉄鋼,0.0274%,TOPIX Mid400
20250829,モリ工業,5464,鉄鋼,0.0027%,TOPIX Small 2
20250829,大同特殊鋼,5471,鉄鋼,0.0189%,TOPIX Mid400
20250829,日本冶金工業,5480,鉄鋼,0.0070%,TOPIX Small 1
20250829,愛知製鋼,5482,鉄鋼,0.0152%,TOPIX Small 1
20250829,大平洋金属,5541,鉄鋼,0.0046%,TOPIX Small 2
20250829,新日本電工,5563,鉄鋼,0.0043%,TOPIX Small 1
20250829,栗本鐵工所,5602,鉄鋼,0.0086%,TOPIX Small 2
20250829,日本製鋼所,5631,機械,0.0631%,TOPIX Mid400
20250829,三菱製鋼,5632,鉄鋼,0.0031%,TOPIX Small 2
20250829,日本精線,5659,鉄鋼,0.0021%,TOPIX Small 2
20250829,エンビプロ・ホールディングス,5698,鉄鋼,0.0011%,TOPIX Small 2
20250829,大紀アルミニウム工業所,5702,非鉄金属,0.0039%,TOPIX Small 1
20250829,日本軽金属ホールディングス,5703,非鉄金属,0.0143%,TOPIX Small 1
20250829,三井金属鉱業,5706,非鉄金属,0.0621%,TOPIX Mid400
20250829,東邦亜鉛,5707,非鉄金属,0.0012%,TOPIX Small 2
20250829,三菱マテリアル,5711,非鉄金属,0.0432%,TOPIX Mid400
20250829,住友金属鉱山,5713,非鉄金属,0.1207%,TOPIX Mid400
20250829,ＤＯＷＡホールディングス,5714,非鉄金属,0.0333%,TOPIX Mid400
20250829,古河機械金属,5715,非鉄金属,0.0079%,TOPIX Small 2
20250829,大阪チタニウムテクノロジーズ,5726,非鉄金属,0.0106%,TOPIX Small 1
20250829,東邦チタニウム,5727,非鉄金属,0.0088%,TOPIX Small 1
20250829,ＵＡＣＪ,5741,非鉄金属,0.0201%,TOPIX Small 1
20250829,ＣＫサンエツ,5757,非鉄金属,0.0024%,TOPIX Small 2
20250829,古河電気工業,5801,非鉄金属,0.0738%,TOPIX Mid400
20250829,住友電気工業,5802,非鉄金属,0.3433%,TOPIX Large70
20250829,フジクラ,5803,非鉄金属,0.3239%,TOPIX Mid400
20250829,ＳＷＣＣ,5805,非鉄金属,0.0261%,TOPIX Small 1
20250829,平河ヒューテック,5821,非鉄金属,0.0032%,TOPIX Small 2
20250829,いよぎんホールディングス,5830,銀行業,0.0607%,TOPIX Mid400
20250829,しずおかフィナンシャルグループ,5831,銀行業,0.0980%,TOPIX Mid400
20250829,ちゅうぎんフィナンシャルグループ,5832,銀行業,0.0403%,TOPIX Mid400
20250829,楽天銀行,5838,銀行業,0.0879%,TOPIX Mid400
20250829,京都フィナンシャルグループ,5844,銀行業,0.0835%,TOPIX Mid400
20250829,リョービ,5851,非鉄金属,0.0075%,TOPIX Small 1
20250829,ＡＲＥホールディングス,5857,非鉄金属,0.0197%,TOPIX Small 1
20250829,東洋製罐グループホールディングス,5901,金属製品,0.0502%,TOPIX Mid400
20250829,ホッカンホールディングス,5902,金属製品,0.0027%,TOPIX Small 2
20250829,コロナ,5909,金属製品,0.0012%,TOPIX Small 2
20250829,横河ブリッジホールディングス,5911,金属製品,0.0113%,TOPIX Small 1
